MGA,Full policy number,Policy Effective Date,Policy Expiration Date,Insured Name,Insured Address,Insured City,Insured State,Insured Zip,Transaction Effective Date,Transaction Expiration Date,Premium,Commission amount,Book or Process Date,Policy Type,Transaction Type,Primary/Excess Indicator,Attachment Point,CM/Occ Indicator,Risk/Location Address,Risk/Location State,Risk/Location Zip,Exposure Type,Policy Occurrence Limit,Policy Aggregate Limit,Policy Event Number,Carrier %,Broker/Agent,Broker/Agent Address,Broker/Agent City,Broker/Agent State,Broker/Agent Zip,Vehicle Number,Vehicle Type,Radius Of Use,Gross Vehicle Weight,Vehicle Make,Vehicle Model,Model Year,Vehicle Identification Number,Specialized Vehicle Type,"Vehicle Number of Seats, Seating Capacity"
Arrowhead General Insurance Agency Inc,TSAHGL0000045-00,08/05/2023,08/05/2024,"Rivergate KW Management, LLC",9480 GATEWAY DR STE 101,RENO,NV,89521,08/05/2023,08/05/2024,837,983.79,8/8/2023,New Business,New Business,Primary,,Occurrence,8200 NW 33RD ST STE 303,FL,33122,Area,1000000.0,2000000,0-1,100.0,"CRC Insurance Services, Inc","5555 Triangle Pkwy., Suite 400",Norcross,GA,30092.0,,,,,,,,,,
Arrowhead General Insurance Agency Inc,TSAHGL0000045-00,08/05/2023,08/05/2024,"Rivergate KW Management, LLC",9480 GATEWAY DR STE 101,RENO,NV,89521,08/05/2023,08/05/2024,164164,28749.38,8/8/2023,New Business,New Business,Primary,,Occurrence,8200 NW 33RD ST STE 303,FL,33122,Gross Sales,1000000.0,2000000,0-1,100.0,"CRC Insurance Services, Inc","5555 Triangle Pkwy., Suite 400",Norcross,GA,30092.0,,,,,,,,,,
Arrowhead General Insurance Agency Inc,TSAHGL0000045-00,08/05/2023,08/05/2024,"Rivergate KW Management, LLC",9480 GATEWAY DR STE 101,RENO,NV,89521,08/05/2023,08/05/2024,0,0.0,8/8/2023,New Business,New Business,Primary,,Occurrence,8200 NW 33RD ST STE 303,FL,33122,,1000000.0,2000000,0-1,100.0,"CRC Insurance Services, Inc","5555 Triangle Pkwy., Suite 400",Norcross,GA,30092.0,,,,,,,,,,
Arrowhead General Insurance Agency Inc,TSAHGL0000046-00,08/09/2023,07/01/2024,Scion Group LLC,401 N MICHIGAN AVE STE 400,CHICAGO,IL,60611,08/09/2023,07/01/2024,44650,7818.13,8/30/2023,New Business,New Business,Primary,,Occurrence,2001 COPPER BEECH WAY,NC,27858,Units,1000000.0,2000000,0-1,100.0,RSG Specialty LLC,"1650 Arch St, ste 2600",PHILADELPHIA,PA,19103.0,,,,,,,,,,
Arrowhead General Insurance Agency Inc,TSAHGL0000046-00,08/09/2023,07/01/2024,Scion Group LLC,401 N MICHIGAN AVE STE 400,CHICAGO,IL,60611,08/09/2023,07/01/2024,0,0.0,8/30/2023,New Business,New Business,Primary,,Occurrence,2001 COPPER BEECH WAY,NC,27858,,1000000.0,2000000,0-1,100.0,RSG Specialty LLC,"1650 Arch St, ste 2600",PHILADELPHIA,PA,19103.0,,,,,,,,,,
Arrowhead General Insurance Agency Inc,TSAHGL0000047-00,08/16/2023,08/16/2024,"Cahill Contracting, LLC",1524 APPLING DR,MOUNT PLEASANT,SC,29464,08/16/2023,08/16/2024,43000,7310.0,8/15/2023,New Business,New Business,Primary,,Occurrence,3727 MEETING STREET RD,SC,29405,Gross Sales,1000000.0,2000000,0-1,100.0,"Peachtree Special Risk Brokers, LLC",11405 North Community House Rd #100,Charlotte,NC,28277.0,,,,,,,,,,
Arrowhead General Insurance Agency Inc,TSAHGL0000047-00,08/16/2023,08/16/2024,"Cahill Contracting, LLC",1524 APPLING DR,MOUNT PLEASANT,SC,29464,08/16/2023,08/16/2024,0,0.0,8/15/2023,New Business,New Business,Primary,,Occurrence,3727 MEETING STREET RD,SC,29405,,1000000.0,2000000,0-1,100.0,"Peachtree Special Risk Brokers, LLC",11405 North Community House Rd #100,Charlotte,NC,28277.0,,,,,,,,,,
Arrowhead General Insurance Agency Inc,TSAHGL0000048-00,08/19/2023,08/19/2024,RT Masonry Inc,626 1/2 BARRINGER LN STE F,WEBSTER,TX,77598,08/19/2023,08/19/2024,80000,13600.0,8/21/2023,New Business,New Business,Primary,,Occurrence,626 1/2 BARRINGER LN STE F,TX,77598,Gross Sales,1000000.0,2000000,0-1,100.0,RSG Specialty LLC,"12404 Park Central Drive, Suite 380",Dallas,TX,75251.0,,,,,,,,,,
Arrowhead General Insurance Agency Inc,TSAHGL0000048-00,08/19/2023,08/19/2024,RT Masonry Inc,626 1/2 BARRINGER LN STE F,WEBSTER,TX,77598,08/19/2023,08/19/2024,0,0.0,8/21/2023,New Business,New Business,Primary,,Occurrence,626 1/2 BARRINGER LN STE F,TX,77598,,1000000.0,2000000,0-1,100.0,RSG Specialty LLC,"12404 Park Central Drive, Suite 380",Dallas,TX,75251.0,,,,,,,,,,
Arrowhead General Insurance Agency Inc,TSAHGL0000049-00,08/16/2023,08/16/2024,"Premium Painting Services, Inc.",120 E STORY RD,WINTER GARDEN,FL,34787,08/16/2023,08/16/2024,75000,12750.0,8/30/2023,New Business,New Business,Primary,,Occurrence,120 E STORY RD,FL,34787,Gross Sales,1000000.0,2000000,0-1,100.0,"Peachtree Special Risk Brokers, LLC",11405 North Community House Rd #100,Charlotte,NC,28277.0,,,,,,,,,,
Arrowhead General Insurance Agency Inc,TSAHGL0000049-00,08/16/2023,08/16/2024,"Premium Painting Services, Inc.",120 E STORY RD,WINTER GARDEN,FL,34787,08/16/2023,08/16/2024,0,0.0,8/30/2023,New Business,New Business,Primary,,Occurrence,120 E STORY RD,FL,34787,,1000000.0,2000000,0-1,100.0,"Peachtree Special Risk Brokers, LLC",11405 North Community House Rd #100,Charlotte,NC,28277.0,,,,,,,,,,
Arrowhead General Insurance Agency Inc,TSAHGL0000050-00,08/29/2023,07/15/2024,"J Sterling Quality Roofing, Inc.",300 STERLING PLAZA DR STE 301,PONTE VEDRA,FL,32081,08/29/2023,07/15/2024,270000,45900.0,8/30/2023,New Business,New Business,Primary,,Occurrence,300 STERLING PLAZA DR STE 301,FL,32081,Gross Sales,1000000.0,2000000,0-1,100.0,"CRC Insurance Services, Inc.","One Metro Plex, Suite 400",Birmingham,AL,35209.0,,,,,,,,,,
Arrowhead General Insurance Agency Inc,TSAHGL0000050-00,08/29/2023,07/15/2024,"J Sterling Quality Roofing, Inc.",300 STERLING PLAZA DR STE 301,PONTE VEDRA,FL,32081,08/29/2023,07/15/2024,0,0.0,8/30/2023,New Business,New Business,Primary,,Occurrence,300 STERLING PLAZA DR STE 301,FL,32081,,1000000.0,2000000,0-1,100.0,"CRC Insurance Services, Inc.","One Metro Plex, Suite 400",Birmingham,AL,35209.0,,,,,,,,,,
Plimsoll Specialty Markets LLC,TSBAAC 0000002-00,14-09-2022,14-09-2023,3D Aviation Inc,154 WESTLAND ST,E FARMINGDALE,NY,6120,01-05-2023,14-09-2023,"$3,185.38 ",$796.35 ,01-05-2023,New Business,Endorsement,Primary,,Occurrence,154 WESTLAND ST,CT,6120,0,1000000.0,2000000,0-5,100.0,Dave McKenzie,3330 Cumberland Blvd,GA - Atlanta,GA - Atlanta,30339.0,,,,,,,,,,
"Marsh USA Chicago, Inc., ",TSBAAC 0000091-00,01-05-2023,01-05-2024,"Venture Travel, LLC",154 WESTLAND ST,Ketchikan,AK,6120,01-05-2023,01-05-2024,"$16,577.50 ","$4,144.38 ",01-05-2023,New Business,New Business,Primary,,Occurrence,154 WESTLAND ST,CT,6120,0,1000000.0,2000000,0-10,100.0,Brendan Patton,540 West Madison St,IL - Chicago,IL - Chicago,60661.0,,,,,,,,,,
"Marsh USA Chicago, Inc., ",TSBAAG 0000092-00,01-05-2023,01-05-2024,"Venture Travel, LLC",154 WESTLAND ST,Ketchikan,AK,6120,01-05-2023,01-05-2024,$206.25 ,$51.56 ,01-05-2023,New Business,New Business,Primary,,Occurrence,154 WESTLAND ST,CT,6120,,1000000.0,2000000,0-6,100.0,Brendan Patton,540 West Madison St,IL - Chicago,IL - Chicago,60661.0,,,,,,,,,,
Marsh & McLennan Agency,TSBAAC 0000086-00,26-04-2023,26-04-2024,"Gateway Canyons Air Tours, LLC",154 WESTLAND ST,Gateway,CO,6120,26-04-2023,26-04-2024,"($7,500.00)","($1,875.00)",01-05-2023,New Business,Cancellation,Primary,,Occurrence,154 WESTLAND ST,CT,6120,,1000000.0,2000000,0-5,100.0,Denise Stevens ,7015 College Blvd,KS - Overland Park,KS - Overland Park,66211.0,,,,,,,,,,
Marsh & McLennan Agency,TSBAAC 0000086-00,26-04-2023,26-04-2024,"Gateway Canyons Air Tours, LLC",154 WESTLAND ST,Gateway,CO,6120,26-04-2023,26-04-2024,"$7,500.00 ","$1,875.00 ",01-05-2023,New Business,New Business,Primary,,Occurrence,154 WESTLAND ST,CT,6120,,1000000.0,2000000,0-10,100.0,Denise Stevens ,7015 College Blvd,KS - Overland Park,KS - Overland Park,66211.0,,,,,,,,,,
Travers & Associates,TIBAAN 0000037-00,29-12-2022,29-12-2023,Shoreline Aviation LLC,154 WESTLAND ST,Sandy,UT,6120,29-12-2022,29-12-2023,"$97,864.00 ","$24,466.00 ",01-05-2023,New Business,New Business,Primary,,Occurrence,154 WESTLAND ST,CT,6120,0,1000000.0,2000000,0-6,100.0,Madison Clipp,PO Box 220519,MO - Saint Louis,MO - Saint Louis,63122.0,,,,,,,,,,
Travers & Associates,TIBAAN 0000037-00,29-12-2022,29-12-2023,Shoreline Aviation LLC,3540 N GRAPEVINE MILLS BLVD,Sandy,UT,76051,06-01-2023,29-12-2023,"$8,945.10 ","$2,236.28 ",01-05-2023,New Business,Endorsement,Primary,,Occurrence,3540 N GRAPEVINE MILLS BLVD,TX,76051,Gross Sales,1000000.0,2000000,0-1,100.0,Madison Clipp,PO Box 220519,MO - Saint Louis,MO - Saint Louis,63122.0,,,,,,,,,,
Travers & Associates,TIBAAN 0000037-00,30-12-2022,30-12-2023,Shoreline Aviation LLC,3540 N GRAPEVINE MILLS BLVD,Sandy,UT,76051,30-12-2022,30-12-2023,"($1,06,984.00)","($26,746.00)",01-05-2023,New Business,Cancellation,Primary,,Occurrence,3540 N GRAPEVINE MILLS BLVD,TX,76051,Gross Sales,1000000.0,2000000,0-1,100.0,Madison Clipp,PO Box 220519,MO - Saint Louis,MO - Saint Louis,63122.0,,,,,,,,,,
Wings Insurance ,TIBAAN 0000067-00,18-04-2023,18-04-2024,"ZMN Enterprises, LLC and Centurion Holdings, LLC",3540 N GRAPEVINE MILLS BLVD,Kila,MT,76051,18-04-2023,18-04-2024,$250.00 ,$62.50 ,01-05-2023,New Business,Endorsement,Primary,,Occurrence,3540 N GRAPEVINE MILLS BLVD,TX,76051,,1000000.0,2000000,0-1,100.0,Zena Dukes,14871 Pioneer Trail,MN - Eden Prairie,MN - Eden Prairie,55347.0,,,,,,,,,,
"Halton Hall & Associates, Inc.",TIBAAN 0000080-00,31-03-2023,31-03-2024,Pollard Aircraft Sales Inc; Pollard Spares LLC; et al,6153 N CEYLON ST,Fort Worth,TX,80249,31-03-2023,31-03-2024,"($6,282.00)","($1,570.50)",01-05-2023,New Business,Endorsement,Primary,,Occurrence,14142 DENVER WEST PKWY,CO,80401,Units,1000000.0,2000000,0-1,100.0,Jason L. Riley,310 Oak Street,TX - Roanoke,TX - Roanoke,76262.0,,,,,,,,,,
"Halton Hall & Associates, Inc.",TIBAAN 0000080-00,31-03-2023,31-03-2024,Pollard Aircraft Sales Inc; Pollard Spares LLC; et al,6153 N CEYLON ST,Fort Worth,TX,80249,31-03-2023,31-03-2024,"$6,272.00 ","$1,568.00 ",01-05-2023,New Business,Endorsement,Primary,,Occurrence,14142 DENVER WEST PKWY,CO,80401,,1000000.0,2000000,0-1,100.0,Jason L. Riley,310 Oak Street,TX - Roanoke,TX - Roanoke,76262.0,,,,,,,,,,
Wings Insurance ,TIBAAN 000093-00,02-05-2023,02-05-2024,Rafter K LLC,9480 GATEWAY DR STE 101,Liberal,MO,89521,02-05-2023,02-05-2024,"$32,294.00 ","$8,073.50 ",02-05-2023,New Business,New Business,Primary,,Occurrence,8200 NW 33RD ST STE 303,FL,33122,Area,1000000.0,2000000,0-1,100.0,Zena Dukes,14871 Pioneer Trail,MN - Eden Prairie,MN - Eden Prairie,55347.0,,,,,,,,,,
Wings Insurance ,TIBAAN 0009002-00,02-05-2023,02-05-2024,Kupau Inc,9480 GATEWAY DR STE 101,Kailua Kona,HI,89521,02-05-2023,02-05-2024,"$4,245.00 ","$1,061.25 ",02-05-2023,New Business,New Business,Primary,,Occurrence,8200 NW 33RD ST STE 303,FL,33122,Gross Sales,1000000.0,2000000,0-1,100.0,Renewal Dept,14871 Pioneer Trail,MN - Eden Prairie,MN - Eden Prairie,55347.0,,,,,,,,,,
Travers & Associates,TIBAAN 0009003-00,02-05-2023,02-05-2024,"DILO Equipment Leasing, LLC",9480 GATEWAY DR STE 101,Clearwater,FL,89521,02-05-2023,02-05-2024,"$6,300.00 ","$1,575.00 ",02-05-2023,New Business,New Business,Primary,,Occurrence,8200 NW 33RD ST STE 303,FL,33122,,1000000.0,2000000,0-1,100.0,Kathryn Forbes,PO Box 220519,MO - Saint Louis,MO - Saint Louis,63122.0,,,,,,,,,,
Wings Insurance ,TIBAAN 0009000-00,03-05-2023,03-05-2024,"N37GD, LLC",401 N MICHIGAN AVE STE 400,Fort Myers,FL,60611,03-05-2023,03-05-2024,"$4,514.00 ","$1,128.50 ",03-05-2023,New Business,New Business,Primary,,Occurrence,2001 COPPER BEECH WAY,NC,27858,Units,1000000.0,2000000,0-1,100.0,Kate Bjorke,14871 Pioneer Trail,MN - Eden Prairie,MN - Eden Prairie,55347.0,,,,,,,,,,
"Avion Insurance Agency, Inc",TIBAAN 0009005-00,03-05-2023,03-05-2024,"Angely Air, LLC",401 N MICHIGAN AVE STE 400,Harlingen,TX,60611,03-05-2023,03-05-2024,"$11,019.00 ","$2,754.75 ",03-05-2023,New Business,New Business,Primary,,Occurrence,2001 COPPER BEECH WAY,NC,27858,,1000000.0,2000000,0-1,100.0,Chris J Conroy,1307 South International Parkway,FL - Lake Mary,FL - Lake Mary,32746.0,,,,,,,,,,
Wings Insurance ,TIBAAN 0000084-00,05-05-2023,05-05-2024,DamnRightITsAJet LLC,1524 APPLING DR,Kathleen,GA,29464,05-05-2023,05-05-2024,"$48,852.00 ","$12,213.00 ",05-05-2023,New Business,New Business,Primary,,Occurrence,3727 MEETING STREET RD,SC,29405,Gross Sales,1000000.0,2000000,0-1,100.0,Sara Weidler,14871 Pioneer Trail,MN - Eden Prairie,MN - Eden Prairie,55347.0,,,,,,,,,,
Plimsoll Specialty Markets LLC,TSBAAC 0000002-00,14-09-2022,14-09-2023,3D Aviation Inc,1524 APPLING DR,E FARMINGDALE,NY,29464,05-05-2023,14-09-2023,"$3,091.69 ",$772.92 ,05-05-2023,New Business,Endorsement,Primary,,Occurrence,3727 MEETING STREET RD,SC,29405,,1000000.0,2000000,0-1,100.0,Dave McKenzie,3330 Cumberland Blvd,GA - Atlanta,GA - Atlanta,30339.0,,,,,,,,,,
Travers & Associates,TIBAAN 0000095-00,06-05-2023,06-05-2024,J.E.A.R. Aviation Inc,626 1/2 BARRINGER LN STE F,El Paso,TX,77598,06-05-2023,06-05-2024,"$43,182.00 ","$10,795.50 ",06-05-2023,New Business,New Business,Primary,,Occurrence,626 1/2 BARRINGER LN STE F,TX,77598,Gross Sales,1000000.0,2000000,0-1,100.0,Kathleen Leatherman,PO Box 220519,MO - Saint Louis,MO - Saint Louis,63122.0,,,,,,,,,,
Travers & Associates,TIBAAN 0009004-00,06-05-2023,06-05-2024,Alberta M. Smith,626 1/2 BARRINGER LN STE F,Payette,ID,77598,06-05-2023,06-05-2024,"$1,728.00 ",$432.00 ,06-05-2023,New Business,New Business,Primary,,Occurrence,626 1/2 BARRINGER LN STE F,TX,77598,,1000000.0,2000000,0-1,100.0,Kathryn Forbes,PO Box 220519,MO - Saint Louis,MO - Saint Louis,63122.0,,,,,,,,,,
"Halton Hall & Associates, Inc.",TIBAAN 0009001-00,11-05-2023,11-05-2024,Waytack LLC,120 E STORY RD,Bryant,AR,34787,11-05-2023,11-05-2024,"$11,693.00 ","$2,923.25 ",11-05-2023,New Business,New Business,Primary,,Occurrence,120 E STORY RD,FL,34787,Gross Sales,1000000.0,2000000,0-1,100.0,Courtney Pena,310 Oak Street,TX - Roanoke,TX - Roanoke,76262.0,,,,,,,,,,
Travers & Associates,TIBAAN 0009007-00,11-05-2023,11-05-2024,Richard Harder,120 E STORY RD,SINKING SPRING,PA,34787,11-05-2023,11-05-2024,"$1,203.00 ",$300.75 ,11-05-2023,New Business,New Business,Primary,,Occurrence,120 E STORY RD,FL,34787,,1000000.0,2000000,0-1,100.0,Cameron Boykin,PO Box 220519,MO - Saint Louis,MO - Saint Louis,63122.0,,,,,,,,,,
Wings Insurance ,TIBAAN 0000094-00,15-05-2023,15-05-2024,THM Holdings LLC,300 STERLING PLAZA DR STE 301,Lake Oswego,OR,32081,15-05-2023,15-05-2024,"$56,978.00 ","$14,244.50 ",15-05-2023,New Business,New Business,Primary,,Occurrence,300 STERLING PLAZA DR STE 301,FL,32081,Gross Sales,1000000.0,2000000,0-1,100.0,Sara Weidler,14871 Pioneer Trail,MN - Eden Prairie,MN - Eden Prairie,55347.0,,,,,,,,,,
"Avion Insurance Agency, Inc",TIBAAN 0000001-00,10-09-2022,10-09-2023,"Ward Aviation, LLC",300 STERLING PLAZA DR STE 301,Grand Rapids,MI,32081,15-05-2023,10-09-2023,"($11,332.00)","($2,833.00)",15-05-2023,New Business,Endorsement,Primary,,Occurrence,300 STERLING PLAZA DR STE 301,FL,32081,,1000000.0,2000000,0-1,100.0,Scott M Langevin,1307 South International Parkway,FL - Lake Mary,FL - Lake Mary,32746.0,,,,,,,,,,
Daniel Abrahamsen,ASC-8398701-00,2023-08-03,2024-08-03,"Crankman EA, LLC",3106 Town and Country Road,Donalsonville,GA,39845,2023-10-24,2024-08-03,-138.67,-24.27,2023-10-24,Cancellation,CN,Primary,0.0,Occurrence,3106 Town and Country Road,GA,39845,,1000000.0,"$2,000,000",ASC-8398701-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,3C63RPGL2FG591908,Truck,0.9655,"Medium Trucks (10,000 - 20,000)",RAM,3500,2015.0,3C63RPGL2FG591908,Truck,1-8
Daniel Abrahamsen,ASC-8398701-00,2023-08-03,2024-08-03,"Crankman EA, LLC",3106 Town and Country Road,Donalsonville,GA,39845,2023-10-24,2024-08-03,0,0.0,2023-10-24,Cancellation,CN,Primary,0.0,Occurrence,3106 Town and Country Road,GA,39845,,1000000.0,"$2,000,000",ASC-8398701-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,3C63RPGL2FG591908,Truck,0.9655,"Medium Trucks (10,000 - 20,000)",RAM,3500,2015.0,3C63RPGL2FG591908,Truck,1-8
Daniel Abrahamsen,ASC-8398701-00,2023-08-03,2024-08-03,"Crankman EA, LLC",3106 Town and Country Road,Donalsonville,GA,39845,2023-10-24,2024-08-03,-61.31,-10.73,2023-10-24,Cancellation,CN,Primary,0.0,Occurrence,3106 Town and Country Road,GA,39845,,1000000.0,"$2,000,000",ASC-8398701-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,3C63RPGL2FG591908,Truck,0.9655,"Medium Trucks (10,000 - 20,000)",RAM,3500,2015.0,3C63RPGL2FG591908,Truck,1-8
Daniel Abrahamsen,ASC-8398701-00,2023-08-03,2024-08-03,"Crankman EA, LLC",3106 Town and Country Road,Donalsonville,GA,39845,2023-10-24,2024-08-03,-298.66,-52.27,2023-10-24,Cancellation,CN,Primary,0.0,Occurrence,3106 Town and Country Road,GA,39845,,1000000.0,"$2,000,000",ASC-8398701-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,3C63RPGL2FG591908,Truck,0.9655,"Medium Trucks (10,000 - 20,000)",RAM,3500,2015.0,3C63RPGL2FG591908,Truck,1-8
Daniel Abrahamsen,ASC-7563080-00,2023-08-09,2024-08-09,MA TRUCKING INC,4652 MORNING BROOK LN,TRACY,CA,95377,2023-10-25,2024-08-09,26.03,4.56,2023-10-25,Cancellation,CN,Primary,0.0,Occurrence,4652 MORNING BROOK LN,CA,95377,,1000000.0,"$2,000,000",ASC-7563080-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,3AKJHHDR8KSJZ3467,Truck,1.434,"Extra Heavy Trucks (45,001+)",FREIGHTLINER,CASCADIA,2019.0,3AKJHHDR8KSJZ3467,Truck,1-8
Daniel Abrahamsen,ASC-7563080-00,2023-08-09,2024-08-09,MA TRUCKING INC,4652 MORNING BROOK LN,TRACY,CA,95377,2023-10-25,2024-08-09,0,0.0,2023-10-25,Cancellation,CN,Primary,0.0,Occurrence,4652 MORNING BROOK LN,CA,95377,,1000000.0,"$2,000,000",ASC-7563080-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,3AKJHHDR8KSJZ3467,Truck,1.434,"Extra Heavy Trucks (45,001+)",FREIGHTLINER,CASCADIA,2019.0,3AKJHHDR8KSJZ3467,Truck,1-8
Daniel Abrahamsen,ASC-7563080-00,2023-08-09,2024-08-09,MA TRUCKING INC,4652 MORNING BROOK LN,TRACY,CA,95377,2023-10-25,2024-08-09,-26.11,-4.57,2023-10-25,Cancellation,CN,Primary,0.0,Occurrence,4652 MORNING BROOK LN,CA,95377,,1000000.0,"$2,000,000",ASC-7563080-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,3AKJHHDR8KSJZ3467,Truck,1.434,"Extra Heavy Trucks (45,001+)",FREIGHTLINER,CASCADIA,2019.0,3AKJHHDR8KSJZ3467,Truck,1-8
