Annual Statement Line Code,2,1 - Fire; 2- - Allied Lines; 12 - Earthquake. ASL Code The number used to report to state agencies (See ASLOB chart),,,,
Annual Statement Line Description,Allied Lines,ASL Code description (See ASLOB chart),,,,
Expiring Policy Number,expiring_policy_number,Column D in Ascot_Bordereau_10_2023,,,,
Issue Date,N/A,,,,,
Policy Event Number,policy_number,Column C in Ascot_Bordereau_10_2023,,,,
Companion policy number,N/A,,,,,
Carrier %,ascot_share,Column O in Ascot_Bordereau_10_2023,,,,
Carrier Limit,0,,,,,
Broker/Agent,producer_individual_name,Column AJ in Ascot_Bordereau_10_2023,,,,
Broker/Agent Address,producer_address_1,Column AN in Ascot_Bordereau_10_2023,,,,
Broker/Agent City,producer_city,Column AP in Ascot_Bordereau_10_2023,,,,
Broker/Agent State,producer_state,Column AQ in Ascot_Bordereau_10_2023,,,,
Broker/Agent Zip,producer_zip,Column AR in Ascot_Bordereau_10_2023,,,,
Direct/Assumed,Direct,Default value should be direct,,,,
Fac?,N/A,,,,,
Fac Reinsurance Attachment point,N/A,,,,,
Home State,N/A,,,,,
SL Tax Broker Company,N/A,,,,,
SL Tax Broker Name,N/A,,,,,
SL Tax Broker Address,N/A,,,,,
SL Broker City,N/A,,,,,
SL Broker State,N/A,,,,,
SL Broker Zip,N/A,,,,,
SL License Number,N/A,,,,,
NJ Transaction Number,nj_sla_number,Column AS in Ascot_Bordereau_10_2023,,,,
Coverage Code,N/A,,,,,
Coverage Sub Code,0,,,,,
CA Limit,0,,,,,
MTC Limit,0,,,,,
APD Limit,0,,,,,
CA Deductible Amount,0,,,,,
MTC Deductible Amount,0,,,,,
APD Deductible Amount,0,,,,,
Rating Class Code,0,,,,,
Fleet Indicator,N/A,,,,,
Hired Car,N/A,,,,,
Non Owned,N/A,,,,,
Drive Other Car,N/A,,,,,
Vehicle Number,vin,Column BC in Ascot_Bordereau_10_2023,,,,
Coverage Symbol,N/A,,,,,
Cost New,0,,,,,
Vehicle Body Type,N/A,,,,,
Vehicle Type,vehicle_type,Column BG in Ascot_Bordereau_10_2023,,,,
Radius Of Use,rating_driving_radius,Column AX in Ascot_Bordereau_10_2023,,,,
Business Use Class,N/A,,,,,
Gross Vehicle Weight,rating_gross_vehicle_weight,Column BA in Ascot_Bordereau_10_2023,,,,
Vehicle Make,vehicle_make,Column BD in Ascot_Bordereau_10_2023,,,,
Vehicle Model,vehicle_model,Column BE in Ascot_Bordereau_10_2023,,,,
Model Year,vehicle_year,Column BF in Ascot_Bordereau_10_2023,,,,
Axel count,0,,,,,
Vehicle Identification Number,vin,Column BC in Ascot_Bordereau_10_2023,,,,
Tractor GCW,N/A,,,,,
Cost of Hire,0,,,,,
Specialized Vehicle Type,vehicle_type,Column BG in Ascot_Bordereau_10_2023,,,,
"Vehicle Number of Seats, Seating Capacity",rating_seating_capacity,Column AZ in Ascot_Bordereau_10_2023,,,,
