,Full policy number,Expiring Policy Number,Policy Effective Date,Policy Expiration Date,Transaction Effective Date,Transaction Expiration Date,Transaction Type,Policy Type,Premium,Carrier %,Exposure Type,Policy Occurrence Limit,Policy Aggregate Limit,Attachment Point,SIR/Deductible amount,Commission amount,Risk/Location Address,Risk/Location State,Risk/Location Zip,Insured Name,Insured Address,Insured City,Insured State,Insured Zip,Broker/Agent,MGA,Broker/Agent Address,Broker/Agent City,Broker/Agent State,Broker/Agent Zip,NJ Transaction Number,Primary/Excess Indicator,CM/Occ Indicator,Radius Of Use,"Vehicle Number of Seats, Seating Capacity",Gross Vehicle Weight,Vehicle Number,Vehicle Make,Vehicle Model,Model Year,Vehicle Type
16,ASC-9552477-00,,2023-08-29,2024-08-29,2023-10-05,2024-08-29,CN,Cancellation,-7966.09,100.0,,1000000.0,"$2,000,000",0.0,,-1394.07,2611 Apple Tree Way,CA,95020,CR7 TRANS INC,2611 Apple Tree Way,Gilroy,CA,95020,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.378,1-8,"Heavy Trucks (20,000 - 45,000)",1XPBD49X7HD409703,PETERBILT,579,2017.0,Truck
17,ASC-9552477-00,,2023-08-29,2024-08-29,2023-10-05,2024-08-29,CN,Cancellation,0,100.0,,1000000.0,"$2,000,000",0.0,,0.0,2611 Apple Tree Way,CA,95020,CR7 TRANS INC,2611 Apple Tree Way,Gilroy,CA,95020,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.378,1-8,"Heavy Trucks (20,000 - 45,000)",1XPBD49X7HD409703,PETERBILT,579,2017.0,Truck
18,ASC-9552477-00,,2023-08-29,2024-08-29,2023-10-05,2024-08-29,CN,Cancellation,-19.15,100.0,,1000000.0,"$2,000,000",0.0,,-3.35,2611 Apple Tree Way,CA,95020,CR7 TRANS INC,2611 Apple Tree Way,Gilroy,CA,95020,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.378,1-8,"Heavy Trucks (20,000 - 45,000)",1XPBD49X7HD409703,PETERBILT,579,2017.0,Truck
19,ASC-9552477-00,,2023-08-29,2024-08-29,2023-10-05,2024-08-29,CN,Cancellation,-250.38,100.0,,1000000.0,"$2,000,000",0.0,,-43.82,2611 Apple Tree Way,CA,95020,CR7 TRANS INC,2611 Apple Tree Way,Gilroy,CA,95020,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.378,1-8,"Heavy Trucks (20,000 - 45,000)",1XPBD49X7HD409703,PETERBILT,579,2017.0,Truck
20,ASC-4124782-00,,2023-08-19,2024-08-19,2023-10-03,2024-08-19,CN,Cancellation,-13986,100.0,,1000000.0,"$2,000,000",0.0,,-2447.55,22517 GRAN SASSO DR,TX,77357,BBT HOTSHOT SERVICES & TRANSPORTATION LLC,22517 GRAN SASSO DR,NEW CANEY,TX,77357,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.533,1-8,"Medium Trucks (10,000 - 20,000)",3C6UR5CL5KG719759,RAM,2500,2019.0,Truck
21,ASC-4124782-00,,2023-08-19,2024-08-19,2023-10-03,2024-08-19,CN,Cancellation,-363.76,100.0,,1000000.0,"$2,000,000",0.0,,-63.66,22517 GRAN SASSO DR,TX,77357,BBT HOTSHOT SERVICES & TRANSPORTATION LLC,22517 GRAN SASSO DR,NEW CANEY,TX,77357,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.533,1-8,"Medium Trucks (10,000 - 20,000)",3C6UR5CL5KG719759,RAM,2500,2019.0,Truck
22,ASC-4124782-00,,2023-08-19,2024-08-19,2023-10-03,2024-08-19,CN,Cancellation,-158.32,100.0,,1000000.0,"$2,000,000",0.0,,-27.71,22517 GRAN SASSO DR,TX,77357,BBT HOTSHOT SERVICES & TRANSPORTATION LLC,22517 GRAN SASSO DR,NEW CANEY,TX,77357,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.533,1-8,"Medium Trucks (10,000 - 20,000)",3C6UR5CL5KG719759,RAM,2500,2019.0,Truck
23,ASC-4124782-00,,2023-08-19,2024-08-19,2023-10-03,2024-08-19,CN,Cancellation,0,100.0,,1000000.0,"$2,000,000",0.0,,0.0,22517 GRAN SASSO DR,TX,77357,BBT HOTSHOT SERVICES & TRANSPORTATION LLC,22517 GRAN SASSO DR,NEW CANEY,TX,77357,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.533,1-8,"Medium Trucks (10,000 - 20,000)",3C6UR5CL5KG719759,RAM,2500,2019.0,Truck
24,ASC-7936712-00,,2023-08-11,2024-08-11,2023-10-18,2024-08-11,EN,Endorsement,4868.05,100.0,,1000000.0,"$2,000,000",0.0,,851.91,2330 SCENIC HWY S STE 816,GA,30078,JLS SHIPPING LLC,2330 SCENIC HWY S STE 816,Snellville,GA,30078,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.633,1-8,"Medium Trucks (10,000 - 20,000)",3ALACWFCXJDJL8139,Freightliner,M2,2018.0,Truck
25,ASC-7936712-00,,2023-08-11,2024-08-11,2023-10-18,2024-08-11,EN,Endorsement,0,100.0,,1000000.0,"$2,000,000",0.0,,0.0,2330 SCENIC HWY S STE 816,GA,30078,JLS SHIPPING LLC,2330 SCENIC HWY S STE 816,Snellville,GA,30078,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.633,1-8,"Medium Trucks (10,000 - 20,000)",3ALACWFCXJDJL8139,Freightliner,M2,2018.0,Truck
26,ASC-7936712-00,,2023-08-11,2024-08-11,2023-10-18,2024-08-11,EN,Endorsement,-191.61,100.0,,1000000.0,"$2,000,000",0.0,,-33.53,2330 SCENIC HWY S STE 816,GA,30078,JLS SHIPPING LLC,2330 SCENIC HWY S STE 816,Snellville,GA,30078,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.633,1-8,"Medium Trucks (10,000 - 20,000)",3ALACWFCXJDJL8139,Freightliner,M2,2018.0,Truck
27,ASC-7936712-00,,2023-08-11,2024-08-11,2023-10-18,2024-08-11,EN,Endorsement,0,100.0,,1000000.0,"$2,000,000",0.0,,0.0,2330 SCENIC HWY S STE 816,GA,30078,JLS SHIPPING LLC,2330 SCENIC HWY S STE 816,Snellville,GA,30078,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.633,1-8,"Medium Trucks (10,000 - 20,000)",3ALACWFCXJDJL8139,Freightliner,M2,2018.0,Truck
28,ASC-7010799-00,,2023-08-22,2024-08-22,2023-10-11,2024-08-22,CN,Cancellation,-11737.97,100.0,,750000.0,"$2,000,000",0.0,,-2054.14,7726 WINEGARD RD 2ND FLOOR,FL,32809,LALANNE LOGISTICS LLC,7726 WINEGARD RD 2ND FLOOR,ORLANDO,FL,32809,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.2925,1-8,"Medium Trucks (10,000 - 20,000)",1HTMMAAL5FH575082,INT'L,4300M7,2015.0,Truck
29,ASC-7010799-00,,2023-08-22,2024-08-22,2023-10-11,2024-08-22,CN,Cancellation,-437.92,100.0,,750000.0,"$2,000,000",0.0,,-76.64,7726 WINEGARD RD 2ND FLOOR,FL,32809,LALANNE LOGISTICS LLC,7726 WINEGARD RD 2ND FLOOR,ORLANDO,FL,32809,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.2925,1-8,"Medium Trucks (10,000 - 20,000)",1HTMMAAL5FH575082,INT'L,4300M7,2015.0,Truck
30,ASC-7010799-00,,2023-08-22,2024-08-22,2023-10-11,2024-08-22,CN,Cancellation,0,100.0,,750000.0,"$2,000,000",0.0,,0.0,7726 WINEGARD RD 2ND FLOOR,FL,32809,LALANNE LOGISTICS LLC,7726 WINEGARD RD 2ND FLOOR,ORLANDO,FL,32809,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.2925,1-8,"Medium Trucks (10,000 - 20,000)",1HTMMAAL5FH575082,INT'L,4300M7,2015.0,Truck
31,ASC-7010799-00,,2023-08-22,2024-08-22,2023-10-11,2024-08-22,CN,Cancellation,-386.74,100.0,,750000.0,"$2,000,000",0.0,,-67.68,7726 WINEGARD RD 2ND FLOOR,FL,32809,LALANNE LOGISTICS LLC,7726 WINEGARD RD 2ND FLOOR,ORLANDO,FL,32809,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.2925,1-8,"Medium Trucks (10,000 - 20,000)",1HTMMAAL5FH575082,INT'L,4300M7,2015.0,Truck
32,ASC-4157383-00,,2023-08-24,2024-08-24,2023-10-23,2024-08-24,CN,Cancellation,-7565.77,100.0,,1000000.0,"$2,000,000",0.0,,-1324.01,813 Peggy Drive,TX,75791,THE OILPATCH TRANSPORT LLC,813 Peggy Drive,Whitehouse,TX,75791,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.535,1-8,"Medium Trucks (10,000 - 20,000)",3C6UR5FL2JG258305,RAM,2500,2018.0,Truck
33,ASC-4157383-00,,2023-08-24,2024-08-24,2023-10-23,2024-08-24,CN,Cancellation,0,100.0,,1000000.0,"$2,000,000",0.0,,0.0,813 Peggy Drive,TX,75791,THE OILPATCH TRANSPORT LLC,813 Peggy Drive,Whitehouse,TX,75791,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.535,1-8,"Medium Trucks (10,000 - 20,000)",3C6UR5FL2JG258305,RAM,2500,2018.0,Truck
34,ASC-4157383-00,,2023-08-24,2024-08-24,2023-10-23,2024-08-24,CN,Cancellation,-90.33,100.0,,1000000.0,"$2,000,000",0.0,,-15.81,813 Peggy Drive,TX,75791,THE OILPATCH TRANSPORT LLC,813 Peggy Drive,Whitehouse,TX,75791,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.535,1-8,"Medium Trucks (10,000 - 20,000)",3C6UR5FL2JG258305,RAM,2500,2018.0,Truck
35,ASC-4157383-00,,2023-08-24,2024-08-24,2023-10-23,2024-08-24,CN,Cancellation,-721.65,100.0,,1000000.0,"$2,000,000",0.0,,-126.29,813 Peggy Drive,TX,75791,THE OILPATCH TRANSPORT LLC,813 Peggy Drive,Whitehouse,TX,75791,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.535,1-8,"Medium Trucks (10,000 - 20,000)",3C6UR5FL2JG258305,RAM,2500,2018.0,Truck
36,ASC-1113117-00,,2023-08-24,2024-08-24,2023-10-16,2024-08-24,EN,Endorsement," $3,420.76 ",100.0,,1000000.0,"$2,000,000",0.0,,598.63,216 MADRID AVE,PA,17815-3143,D SPIDER TRANSPORT LLC,216 MADRID AVE,BLOOMSBURG,PA,17815-3143,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,0.85,1-8,"Medium Trucks (10,000 - 20,000)",3C6UR5FL5JG371228,RAM,2500,2018.0,Truck
37,ASC-1113117-00,,2023-08-24,2024-08-24,2023-10-16,2024-08-24,EN,Endorsement, $(85.52),100.0,,1000000.0,"$2,000,000",0.0,,-14.97,216 MADRID AVE,PA,17815-3143,D SPIDER TRANSPORT LLC,216 MADRID AVE,BLOOMSBURG,PA,17815-3143,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,0.85,1-8,"Medium Trucks (10,000 - 20,000)",3C6UR5FL5JG371228,RAM,2500,2018.0,Truck
38,ASC-1113117-00,,2023-08-24,2024-08-24,2023-10-16,2024-08-24,EN,Endorsement, $-   ,100.0,,1000000.0,"$2,000,000",0.0,,0.0,216 MADRID AVE,PA,17815-3143,D SPIDER TRANSPORT LLC,216 MADRID AVE,BLOOMSBURG,PA,17815-3143,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,0.85,1-8,"Medium Trucks (10,000 - 20,000)",3C6UR5FL5JG371228,RAM,2500,2018.0,Truck
39,ASC-1113117-00,,2023-08-24,2024-08-24,2023-10-16,2024-08-24,EN,Endorsement, $-   ,100.0,,1000000.0,"$2,000,000",0.0,,0.0,216 MADRID AVE,PA,17815-3143,D SPIDER TRANSPORT LLC,216 MADRID AVE,BLOOMSBURG,PA,17815-3143,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,0.85,1-8,"Medium Trucks (10,000 - 20,000)",3C6UR5FL5JG371228,RAM,2500,2018.0,Truck
40,ASC-1696092-00,,2023-09-09,2024-09-09,2023-10-09,2024-09-09,EN,Endorsement,0,100.0,2.0,1000000.0,"$2,000,000",0.0,,0.0,6850 W OAK  AVE,CA,93722,AMIT SINGH,6850 W OAK  AVE,FRESNO,CA,93722,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.615,1-8,"Extra Heavy Trucks (45,001+)",1XKYD49X7NJ494829,KENWORTH,T680,2022.0,Truck
41,ASC-1696092-00,,2023-09-09,2024-09-09,2023-10-09,2024-09-09,EN,Endorsement,0,100.0,2.0,1000000.0,"$2,000,000",0.0,,0.0,6850 W OAK  AVE,CA,93722,AMIT SINGH,6850 W OAK  AVE,FRESNO,CA,93722,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.615,1-8,"Extra Heavy Trucks (45,001+)",1XKYD49X7NJ494829,KENWORTH,T680,2022.0,Truck
42,ASC-1696092-00,,2023-09-09,2024-09-09,2023-10-09,2024-09-09,EN,Endorsement,0,100.0,2.0,1000000.0,"$2,000,000",0.0,,0.0,6850 W OAK  AVE,CA,93722,AMIT SINGH,6850 W OAK  AVE,FRESNO,CA,93722,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.615,1-8,"Extra Heavy Trucks (45,001+)",1XKYD49X7NJ494829,KENWORTH,T680,2022.0,Truck
43,ASC-1696092-00,,2023-09-09,2024-09-09,2023-10-09,2024-09-09,EN,Endorsement,0,100.0,2.0,1000000.0,"$2,000,000",0.0,,0.0,6850 W OAK  AVE,CA,93722,AMIT SINGH,6850 W OAK  AVE,FRESNO,CA,93722,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.615,1-8,"Extra Heavy Trucks (45,001+)",1XKYD49X7NJ494829,KENWORTH,T680,2022.0,Truck
44,ASC-1696092-00,,2023-09-09,2024-09-09,2023-10-09,2024-09-09,EN,Endorsement,0,100.0,2.0,1000000.0,"$2,000,000",0.0,,0.0,6850 W OAK  AVE,CA,93722,AMIT SINGH,6850 W OAK  AVE,FRESNO,CA,93722,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.615,1-8,"Extra Heavy Trucks (45,001+)",3AKJHHDR3LSLR4856,FREIGHTLINER,CASCADIA,2020.0,Truck
45,ASC-1696092-00,,2023-09-09,2024-09-09,2023-10-09,2024-09-09,EN,Endorsement,0,100.0,2.0,1000000.0,"$2,000,000",0.0,,0.0,6850 W OAK  AVE,CA,93722,AMIT SINGH,6850 W OAK  AVE,FRESNO,CA,93722,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.615,1-8,"Extra Heavy Trucks (45,001+)",3AKJHHDR3LSLR4856,FREIGHTLINER,CASCADIA,2020.0,Truck
46,ASC-1696092-00,,2023-09-09,2024-09-09,2023-10-09,2024-09-09,EN,Endorsement,0,100.0,2.0,1000000.0,"$2,000,000",0.0,,0.0,6850 W OAK  AVE,CA,93722,AMIT SINGH,6850 W OAK  AVE,FRESNO,CA,93722,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.615,1-8,"Extra Heavy Trucks (45,001+)",3AKJHHDR3LSLR4856,FREIGHTLINER,CASCADIA,2020.0,Truck
47,ASC-1696092-00,,2023-09-09,2024-09-09,2023-10-09,2024-09-09,EN,Endorsement,0,100.0,2.0,1000000.0,"$2,000,000",0.0,,0.0,6850 W OAK  AVE,CA,93722,AMIT SINGH,6850 W OAK  AVE,FRESNO,CA,93722,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.615,1-8,"Extra Heavy Trucks (45,001+)",3AKJHHDR3LSLR4856,FREIGHTLINER,CASCADIA,2020.0,Truck
